rating,user_name,date,contributions,review_text,id_resto
4.0,Panda,July 17 2020,32,"It’s a very genuine Italian restaurant, with fresh ingredients of an excellent quality, especially the buffalo mozzarella. We had a couple of pasta plates, a pizza and a salad. As top as in Italy. The service is pleasant and kind too, being very good, the place can be crowded.",15
5.0,Dr Sue M,October 24 2024,149,"I had the wonderful culinary experience of dining at Casa Nobile in Lyon, France, twice so far. The food is delicious but get there early because there will be a long line! They open for dinner at 7:30 so arrive 15 or 20 mins early. I ordered the linguini in clam sauce and it was recommend by local. It was excellent, not expensive and friendly service! The pizza ooh lala!",15
5.0,No,May 10 2024,102,"The only well-known downside: does not take reservations. Apart from this small point, the menu is varied, here the prices have not been excessively affected by inflation (which is good for most restaurants on the Presqu 'island...) and are reasonable! The dishes are all very good and plentiful! 🍝 PS: I recommend the eggplant pasta yum accompanied by a glass of Italian wine",15
2.0,France,October 29 2024,16,"The last time I went to this pizzeria I had taken anti-pasti which were excellent. This time it was very disappointing, especially mushrooms and spinach that had sand and were, for me, inedible.... I reported it to the young woman who was looking after me, she told me she was going to report it in the kitchen. Arriving at the cashier I thought maybe I would be offered coffee and not even....",15
4.0,sola123,June 22 2023,530,"This very busy spot spreads out around the corner and oozes down the block. Pasta is hit and miss. The daily special of ravioli was great, but another daily special of linguini with calamari was fishy and rubbery. Maybe stick with the pizzas that are big and pillowy crusted. This is a great place to grab lunch before shopping.",15
5.0,dvorac4,January 21 2023,759,"Rue Grollee, on west small street across from hotel Amazing Neapolitan pizza! Very soft gluteny and blistered puffy crust with lots of melted mozzarella and provolone cheese. Wine Veneto Gran Passione Rosso – a favorite of the owner and very good. Server Maira is wonderful, professional, and friendly; good salads. 6 small tables outside; none inside; mostly delivery. Small satellite location for main restaurant a few blocks away which is large and extremely popular with long lines. This location’s customers are locals. Very quiet and cozy.",15
3.0,Papitrac,November 14 2024,25,"Bof, bof…. Kind welcome, but average cuisine, like big food. Italians usually know how to do better. My overcooked veal sauté sole and the accompaniment of tasteless pasta. I couldn’t even finish this pasta. We had been warned, but we had not heeded it. We should have!!!",15
4.0,maeverilhac,August 1 2023,82,"Very good Italian moment for two. For the lady: delicious clam pasta with a VERY VERY tasty broth at the bottom of the plate! For Monsieur: pasta also, with eggplant, basil, and parmesan: very good too. Pure quality products with fast service, despite the fact that the restaurant is SHIELDED every evening. We said to ourselves each time while watching the queue in front: “it must be really good”: maé from the future affirms: it’s really good Go there without hesitation",15
1.0,Sveta,January 7 2024,5,"A restaurant with a good reputation but a big disappointment. Tasteless cheese, overcooked and flavorless pasta. Exhausted servers, need to make money with a continuous flow of people. Working in the gastronomy field, I would not recommend this place.",15
5.0,Ernesto,September 15 2023,11,"The queue is the reflection of a real pizzeria, from pastas to pizzas and dolce. Even our server was Italian. Simple and high quality, here even the trattorias are at the gastronomic level of Lyon. A pleasure and a culinary change of scenery.",15
