rating,user_name,date,contributions,review_text,id_resto
4.0,spomer,March 22 2022,18,"It's a butcher with a dining area. Very nice concept and a very nice selection of dry aged meats. They come with you to the aging fridge and explain to you the differences between the meats and cuts . You can also choose a degustation of different pieces if you are a few people, that way you can sample meat from spain, france, switzerland, wagyu and many more. They also have a nice selection of wines to accompany their meals and great service by competent people. The ""restaurant"" is quite small and extremely popular so you must reserve to make sure that you can have a place to eat. It's not easy also to finally get a hold of them in order to make that reservation. You get to taste the actual meat since it's not served with sauces, you get it the juice that it was cooked in.  Very nice meal and cool concept.",72
5.0,Roucairol,August 5 2023,270,"Restaurant specializing in meat, we have wanted to discover it for a while. By booking early enough we were able to get a table for dinner. And there it was a great moment of happiness, because from the starters (the sweets, the Bellota, the pâtés en croute) to the dishes (onglet, tartare, steak, walnuts) everything is delicious and above all cooked to order, blue or at point. As an accompaniment we were able to taste the pan-fried porcini mushrooms and fried potatoes. And finally the desserts enhanced this moment. The wine list is consistent with the region and the products, is very complete and for all budgets. To discover, and for us the teenagers have already planned to come back. ;))",72
5.0,Mathieu-cm,April 16 2024,18,"A great time and a real haunt for lovers of high quality meat. The formula at +15€ per person and being able to choose your own cuts of meat in the window is a real experience for any meat lover and having explanations when choosing is a huge plus. Special mention also to Nadège who served us with a smile and incredible efficiency, something that we don't emphasize enough in these times when the service in restaurants is getting worse and worse and can make you have a very good evening. to excellent or average. So thank you Nadège for giving us an excellent evening. Thanks to the chef for cooking the meats and their quality. A very good moment which will be reproduced. Ps: only small point to note, in our opinion it is essential to send the ribs in 2 batches. We noted that in general they are sent all 6 at the same time (but a friend told us that it was cold at the end even if we were offered to reheat), but it is not necessarily pleasant to have everything at the same time on the table and eat cold at the end (the 3rd being lukewarm when we ate it). So we really appreciated having had them in 2 installments. THANKS",72
5.0,Fred M,January 6 2024,79,"L'Argot has the best steaks and meat dishes in all of Lyon. The restaurant is lively and loud, and everyone seems to have a good time dining. The restaurant is also a butcher shop so the meats are freshly cut and on display. Service is professional and food comes fast. The pate en croute (two types) are also best in Lyon. The wine list is complete and full of affordable Rhone wines. I recommend you have a reservation or you will not be seated due to the popularity of the restaurant. I will most definitely return.",72
5.0,riche m,October 25 2023,2,"concept of the butcher's restaurant. There was a place of this type in La Croix-Rousse about twenty years ago but it was above all a butcher's shop. Nice range of over-ripe meats that you can choose from. Billing by weight. NO or few vegetables (we had to settle for carbo hash browns). Wine list in my opinion oversized. Expensive. 40EUROS A 250G TAB but it's wagiu beef! Vegetarians refrain, the salad is extra. In summer, the many local bistros set up terraces on platforms which extend widely onto the street and reduce parking spaces. It is not easy to park in the area. Very good restaurant but for carnivores.",72
5.0,Marie P,August 29 2024,2,"When you come to eat slang, you come mainly for the atmosphere. This time we had the chance to be placed near the butcher chef, who cuts, weighs, cuts, pampers his meat. Very nice atmosphere. A star is reserved for toilets: a flawless, top decoration, clean places. 2 stars for the meal: our children love, and it was my daughter’s birthday present, she asked for it!! Cooking is perfectly mastered, the Butter Butter Inn is perfect. Nothing was left on the plates. A star for service: smile and careful attention. My daughter even got her picture with the chef! She was so happy! Thank you!! And a star for Award Value: good meat is expensive but it is good and beautiful. We don't do this every day, but we do it when we have something to celebrate! It is a deserved 5/5!! Warning however: Reservation essential and very in advance for the evening!!!",72
1.0,Trek735082,July 14 2024,3,"We were visiting from the US, and made reservations weeks in advance. We do not speak French, but always make an attempt to use a few basic words. The staff made no effort to try to explain the menu or the process. The menu is only available in French, while most other restaurants had some option available for English interpretation. It was quite clear we did not get the same level of service. All others were taken to counter to select their steak, we were not. The steaks were much more well done than medium rare, as ordered. We were served quickly and out in under an hour. In was not a nice experience. We felt as if we should not be there. Unless you speak fluid French, I would steer clear.",72
5.0,albert d,June 8 2024,5,"A caboulot not bitten by cockchafers! We ate some tender and tasty pork, washed down with a good bit of picrate. The boss is not too greedy when it comes to artiche and the lunatics are nice. I'll make it short: this is where you have to be stingy to be Peter the Underbelly!",72
5.0,Chiang Chai T,December 12 2024,2,"Despite not speaking French, I had a warm reception when I entered. Though the restaurant was busy, I received good service. I managed to order my beef from their special chiller. I had the bone marrow for appetizer and they lit a fire on the bone for the added effect. The Rubia Gallega entrecôte was perfectly done at medium rare. My son and I were so full we were rolling out very satisfied. I will definitely come back again when I visit Lyon.",72
5.0,GUY F,February 9 2024,206,"Want some really good meat? I chose this place where we shared a beautiful rib of beef accompanied by tender potatoes and mushrooms. The cooking was as requested. Very good wine perfectly suited to our platter of well-sliced meat. What more can I say except come back to taste other meats from the window. Discreet staff, efficient service.",72
5.0,Magali,March 27 2024,11,"Fabulous experience! As a starter to share, a trio of crusty pâtés that are worth the detour! Meat dishes: generous, perfectly cooked, without fuss. And the desserts: top notch! I obviously recommend this restaurant to all lovers of very good meat. And to make matters worse, the bread was very good, and the tea was perfect. Attentive service with a smile!",72
5.0,69catherine69,August 8 2023,3,"Succulent meat, impeccable cooking. Accompany with a Beaune 1er Cru a jewel The lost brioche a delight The only downside is that the tables are a little too close, but great service, the boss, and a friendly atmosphere compensate for that. Successful, it was a magnificent moment An address not to be missed",72
