rating,user_name,date,contributions,review_text,id_resto
4.0,AngryofTollcross,October 18 2024,10,"Lovey simple meal at a bouchon. Good size portions. We tried smoked salmon, quenelles and beef cheeks.  Decent wine. Nice traditional decor. It is in a touristy area by the cathedral. As we were there on a Monday so not as busy and you can book online but we saw other parties walk in on spec. Staff were very nice and were patient with our beginner level French.",52
4.0,graceinbeijing,March 1 2020,71,"I had a lunch/dinner here ordering off one of the fixed price menus. It was very good food and good value. I had a nice salad Lyonaise with generous ham/bacon and perfectly poached egg, and very tasty and rich stew of tripe. My yogurt/cheese with berry sauce for dessert was also very good. Service was good, and it was relaxing with a good playlist.",52
5.0,Laura M,October 27 2020,1,"We made the reservation with ""the Fork"" and was a great decision. The waitress was very kind with us, that she talked with us in Spanish to make everything easier.  The service was quite quick and the food was superb. We had a Lyonnese Salad and 2 main plates and was more than enough, the plates ar copious and delicious.  I personally ate a steak tartar wich I definitely recomend. We end up very happy with the experience, we will surely recomend it to everybody and repeat when we go back to Lyon.  Très bien.",52
1.0,Tara Bee,June 11 2022,395,"We could clearly see the hygiene and cleanliness here is awful because two cups we were given were dirty, one given to replace the first dirty one was also dirty! In a post-covid world, this is completely unacceptable. Both waiters didn't speak any English and instead of a coffee in a plastic cup, they brought us a really tiny one. The second time a larger one came out but not in a takeaway cup. Too much effort just for a coffee and waste of almost €20 for a few hot drinks. Not worth the hassle. Go elsewhere.",52
5.0,Luna T,October 28 2024,61,"Upon arrival, the real welcome in cork: large table to which are already tabled unknown people (at the start). Then over an aperitif, of the 7 possible starters, main course, a digeo at your expense even if we think it is offered a priori, cheeses and dessert, all balanced by waiters of ouf, a great accordion player, the atmosphere warms up, we laugh and chat as if we were friends! Thank you for this suspended moment. It is certainly a little expensive looking at the simplicity of the dishes but simplicity at this level, it is worth it!!!",52
4.0,Mardi S,October 14 2022,156,"I see that others have given this tiny place less than glowing reviews, but we were very happy with the service, the cleanliness and the food. The staff were busy, but not so that they weren’t attentive, they were very pleasant and patient with our lack of fluent French. We had French onion soup, then the saucisse with pistachios and lentils, both of which were rich with flavour and perfectly seasoned. Desserts were, again, simple but good. Nothing to complain about here.",52
1.0,Tim W,February 5 2023,3,"There’s good attentive service, and there’s being hounded by staff. This place is definitely the latter. When you ask for “another few minutes” to choose your order (after being seated for 5) you don’t expect a literal 30 seconds before a return visit to see if you’re ready. The portion sizes are tiny too if ordering from the set menu vs a la carte. When I asked why my cheese selection consisted of 2 slices, I was told because I ordered from the set menu. Otherwise the portion size would be doubled apparently. Tourist trap. Avoid.",52
1.0,Gianluca P,May 27 2024,1,"After a (discreet) dinner with work colleagues, based on onion soup, fried tripe and tripe sausage, the following day, on the way back to Italy, I realize that I had forgotten my eyeglasses on the table. Once I arrive in Italy, I call the restaurant politely asking if it is possible to organize a shipment of the glasses to my address (obviously at my expense), but I am told that ""they don't have time for these things"" and that ""I owe the glasses to myself go and film at the club."" When I reply by saying that I have no new trips to Lyon planned and that they would be doing me a great favor if they could send them to me (at my expense, I repeat), in response they hang up on me. My advice: make sure you don't forget anything before leaving this restaurant. Congratulations for your education and hospitality!",52
1.0,Óliver R,June 3 2024,4,"I'm not one to write reviews when they're negative, but this time I feel compelled to do so. I ate some cheeks that made me spend one of the worst nights of my life. We ordered a salad to share and they brought us an extra plate that we didn't use because it was dirty. The waiters are polite, but it's useless if they then feed you pure poison. The pity was that when we took a look at the kitchen, we were already leaving through the door, because otherwise we wouldn't have even entered. In summary: food in poor condition, non-existent cleaning, excessive heat and very expensive for what they offer.",52
5.0,Pascal Perret,March 11 2024,39,"We come to Lyon regularly and we have frequented a large number of restaurants, some on the advice of our friends in this city. This time we booked at the Auberge des Canuts without being advised to do so. Well it was the best meal and it became our favorite restaurant. My wife, who eats a pike dumpling every time, said it was her favorite. For my part I liked the meurette eggs and the pistachio sausage with lentils was incredible. The Internet reservation system worked very well (some cork owners do not take reservations from abroad by telephone). We were welcomed like popes, served quickly and with a smile. 5 star service and we will come back, promise!",52
