rating,user_name,date,contributions,review_text,id_resto
5.0,Eve R,October 19 2024,1,"Great place, with a very nice interior and pretty decor rather instagramable!! The food and top and the dish of the jojo, calzone revisited is really top 👍 In short it was a real treat for our eyes as well as for our taste buds! I would gladly come back with some friends to make them taste the great dishes of the restaurant I will not refrain from saying that the staff is at the top and the waiters are very friendly, making the meal very pleasant. Moreover, the place is quiet with good music (black pumas 💃) I recommend times thousandeeeee",16
5.0,Aymeric O,November 17 2023,1,"A little Italian gem in the heart of Lyon 3! L'Afrreux Jojo offers an authentic experience with its delicious cuisine and warm atmosphere. The dishes are prepared with care, offering a true explosion of Italian flavors. The friendly and attentive service perfectly complements this culinary escapade. An ideal place for lovers of Italian cuisine who are looking for a friendly and charming address",16
5.0,Charbon h,April 26 2024,1,"What an exceptional find! This restaurant offers a remarkable dining experience with a warm and welcoming ambiance. The pizzas are a real treat for the taste buds, with perfectly tender dough and always fresh ingredients. The staff is extremely friendly and attentive, making every visit special. It is definitely the place to be for lovers of real Italian pizza. I highly recommend !",16
5.0,Pascal C,April 5 2024,13,"We had reserved a table for the after show at 10:00 p.m. A very friendly welcome from friendly and caring staff. Fast service and quality cuisine. We enjoyed the pizza and the panozzo (which I didn't know) made with excellent, thin, light and crunchy dough!!!! We recommend this table without hesitation and we will return there!!! Congratulations to the whole team!!!",16
5.0,Arthur D,April 20 2024,1,"I enjoyed myself, my taste buds were sublimated by these pizzas made with love. You can feel the investment of the cooks in every bite. The staff is pleasant, smiling and sunny. Thanks to this good meal I know I'm going to have a good day! I'll be back !",16
5.0,Flavio P,August 22 2024,1,"At the corner of a subway exit , a small luminescent and solar beam makes its way peacefully to the retina , before we enthusiastically decide to meet this Italian getaway. Painters were once obliged to travel to the oldest country in the world in order to absorb the intrinsic beauty of this wonderful place. You have to believe that today, it is next to Place Guichard that this trip to Italy takes place in the most fantastic way. How many impressionistic brushstrokes could sum up this teeming of light and emotions that pass through us when we stop there. Whether on the banks of Awards accessible to the sublime enclave of a cascade of tastes , like the eruption of a Vesuvius or an Etna: the awful Jojo has nothing but the name , and I wish, from my humble experience , to pay tribute to one of the most dignified restaurants I have ever met. Caravaggio",16
5.0,thomas m,October 26 2024,1,"We spent an exceptional evening in this Italian restaurant! The authentic flavors of the dishes transported us directly to Italy. The pizza was perfect, with a fine, crispy dough and quality ingredients. The staff is warm and attentive, creating a friendly atmosphere. A real favorite for carbonara pasta, creamy at will. We will return without hesitation! Thank you for this great experience.",16
5.0,Anaïs G,October 19 2024,1,"I went with my friends to this small restaurant, very well placed and accessible in lyon, and I was really and pleasantly surprised by the quality, supposedly excellent, the welcome, the staff and especially the food. A real treat for both eyes and taste buds, I Recommend with a big R, thank you very much!!",16
5.0,mourinho11,December 7 2023,9,"Pizzeria just below us, very easily accessible Place Guichard, Very good Neapolitan style pizzas, panozzo also very good. Very good cocktail (p. Martini) Good value for money Top!",16
5.0,AHMED A,May 31 2024,5,"Superb welcome, great kindness and gentleness from the waitress… Despite a full restaurant, a great effort was made to accommodate us all the same! Come without hesitation because you will feel at home! And as for the meal: 10/10!! As they say at home: BSARTEK and we will come back Inshallah",16
5.0,Roxane R,November 4 2024,15,Excellent pizzas. Small restaurant very nice with a team of dynamic and smiling young people! Italian wines accompany pizzas like rarely found so good! A great experience in Lyon that changes traffic jams!,16
5.0,Clara J,December 11 2024,1,"The place has a very nice ambiance, the pizza is great and it was not a long wait. The staff was very friendly and the restaurant is easily reachable by public transport",16
5.0,German S,November 16 2024,1,"I went with my girlfriend for a romantic dinner, friendly service, tasty pizza and delicious wine !!! Everything perfect",16
5.0,Adam B,October 16 2024,3,Very delicious and fast. Would recommend to anybody visiting Lyon for lunch or dinner. Staff were friendly also. Thanks,16
5.0,Salma D,August 30 2024,2,"Amazing pizza, amazing pizza, amazing tiramisu! The music was good too ! I would definitely go back What a great experience🤩",16
5.0,hervé d,April 13 2024,1,"So good to find a place with amazing tastes and nice people to serve! Thanks you for the moment, with the lovely playlist, just perfect for a romantic moment for the couple 🙏",16
5.0,Lilas S,March 20 2024,1,"The Yellow Buffalo and Al Cappo pizzas were bussin, yum yum. The playlist is quite enjoyable and the staff is sweet and welcoming. I definitely recommend!! Lilas and Julien <33",16
5.0,Amith v,November 30 2023,1,Les pizzas sont bonnes ici. Authentique pizza de Naples. Small & lovely place. One of the very good pizzas I have eaten!,16
5.0,dan t,July 1 2023,3,"Amazing Italian restaurant in Lyon, finally a good pizza, not easy to find a real Italian pizza in Lyon. We already came twice and definitely will come back",16
5.0,Simone P,April 29 2023,2,Amazing napolitan pizza and italian panozzo! High quality ingredients and staff very polite. Really recommended!,16
5.0,Charline091,December 21 2019,70,It's not a regular restaurant.What they serve is really unique. We feel the love and passion in the food. And above all Service was great. Thank you affreux Jojo to make our visit to France a special one,16
1.0,Wojtek S,November 21 2019,9,"We came there, we have had great expectations because we love Italian cuisine, but at place noone was able to serve us well. No english menu was available, no proper explanation of the menu was given to us. We went out from this place to another restaurant after 2 minutes. If you are foreigner, do not waste your time and do not come here, you will not find appropriate service.... sorry... sad, but true.",16
3.0,Bexell,July 12 2019,320,"We read about it on TripAdvisor. Its like a french subway. Bread with ingridents. We tried the salmon one and one more with parmaham, aburgine and mozzarella. They were really big. One is inuff for two. Quite ok. Good beer and wine. And perfect service.",16
5.0,Andres R,December 13 2024,2,"Excellent pizza, good atmosphere, very good service, top. We asked for 2 jojo and 1 pizza and everything was perfect. Thank you bcpp!",16
5.0,Katie K,December 11 2024,1,This is the perfect place in Lyon to eat a perfectly delicious Neapolitan pizza! Atmosphere and very friendly staff!,16
5.0,Aline M,December 4 2024,3,"We enjoyed excellent pizze. A pizza diavola just piquant and a pizza with truffle ham, truffle cream dotted with buratta. A downright divine meal!!!",16
4.0,Loic V,November 30 2024,1,Very nice place with family we eat very well..I advise...this restaurant very nice team.and a good atmosphere,16
5.0,Bertrand D,November 23 2024,1,Very good gourmet pizza and pasta of the day delicious. Decor and pleasant setting Very smiling welcome. I recommend without hesitation.,16
5.0,Axelfoley009,November 18 2024,38,A pizza or a panozzo (I didn't know...) of quality will necessarily be at the Horrible Jojo. Restaurant run by very dynamic young people.,16
5.0,guillaumew,November 16 2024,1,"Pizza on top! Quality product, very nice servers Little flat if I had to give one, music slightly too loud",16
5.0,Anil,November 15 2024,11,The pizza and salads are exquisite. The “creme brule” is especially recommended for desserts. It''s in a central location. Opening at 7pm. We had already booked. We were very pleased.,16
5.0,Célia P,November 13 2024,1,"I recommend this address, the atmosphere is very nice, the waiters are at the top and the food is excellent!",16
5.0,Marion D,November 13 2024,2,Great restaurant with delicious pizzas. Special mention for the burrata supplement. I highly recommend!!!!!,16
5.0,N.H,November 9 2024,3,"The setting is great and lively! The food, pizza as dessert, is of good quality and the prices are really reasonable.",16
5.0,Luc L,November 7 2024,10,"It was delicious, great pizzas and we had a great time! I recommend one of the best Italian restaurants in the neighborhood.",16
5.0,JULIEN.P,November 7 2024,3,"The pizzas are delicious, the service is impeccable and very good desserts. The price is very affordable! Recommended!",16
5.0,Fred L,October 30 2024,1,"We booked with friends for a working lunch: A friendly atmosphere, a pleasant waitress and a great pizza!",16
5.0,devaux c,October 30 2024,1,"Reception, service and quality of the dishes at the top. We had a great evening with friends! I will return without hesitation",16
5.0,Simon V,October 30 2024,1,"Just one word: delicious! The pizza dough is excellent, good atmosphere, cozy setting. The staff is very professional and pleasant!",16
5.0,Camille M,October 26 2024,4,"Small friendly place, very good menu including pizza. Pizza is delicious. I highly recommend!!!",16
5.0,simon b,October 26 2024,1,"Pizza very good, very good time spent with friends, to do again as quickly as possible The desserts also very good.",16
5.0,Christian R,October 23 2024,1,"It's all good. Very friendly atmosphere. Remember to book even during the week, it is often complicated to have a table. Abruzzo wine also very good.",16
5.0,javouhey j,October 23 2024,2,Very good restaurant with good value for money We went with the family for a birthday I recommend truffle pizza,16
5.0,Alice D,October 19 2024,1,"Service with great care and remarkably kind, dishes/pizzas/panozzos (jojo) EXQUISITE (the dough is delicious and the condiments superior and perfectly dosed)  We'll be back!",16
5.0,INSALACO A,October 17 2024,1,"Very good pizza, a warm setting and very helpful waiters!  We will be back very soon:)) 🤌🏼🤌🏼",16
5.0,Carole L,October 3 2024,6,Fast service and with a smile  Delicious pizza and salad too good 😋 And the hazelnut cream tiramisu 😜 thank you,16
5.0,Elise V,October 2 2024,1,We ate with friends at this establishment. The setting is warm and the staff very pleasant. The pizzas are very well stocked and the products are quality,16
5.0,Agathe L,October 2 2024,1,"Little evening with friends at L'Affreux Jojo. The pizzas are very good and well stocked, the welcome is top. We recommend without hesitation!!",16
5.0,No T,October 1 2024,1,Very welcome!. Pizza on top. I recommend the diavola. We will gladly return for a future meal with friends or family,16
5.0,Séverine L,September 28 2024,136,Excellent pizzas!!! An address to remember Homemade!!! Quality service!!!! Salomé and Emma are very kind!!! Desserts are delicious,16
5.0,Marie C,September 21 2024,1,"Great, we had a burrata to share and two pizza. It was very good and the service was very nice. We recommend.",16
5.0,sav w,September 21 2024,3,Pizzas and excellent hospitality! Burattas are excellent quality! We will come back for on 😎😎 and this time we will keep room for desserts!,16
5.0,colombe g,September 20 2024,1,"Great food! Thank you very much, the team was very friendly! The pizzas were very good too! See you next;)",16
5.0,Joséphine T,September 20 2024,1,"Too good! Nice place, very nice staff! The pizzas are great, the choice is varied! Thank you beaucouuuuuuup",16
5.0,Ines F,September 20 2024,1,This restaurant is very nice!! The Panozzo are really good! The staff is super nice and welcoming!!!!,16
5.0,Eugenie G,September 20 2024,1,Very warm place! Delicious meals! Very Good Value Award! I really recommend this restaurant! The waiters are very smiling,16
5.0,Fabietrip,September 14 2024,15,"Very friendly welcome, delicious and hearty pizzas. We no longer had room for dessert, we will definitely come back!",16
5.0,Thibault L,September 14 2024,1,Super good and very welcoming staff The pizzas are excellent! A very good address if you are big eaters like me,16
5.0,Clara R,September 12 2024,1,Delicious and warm!!! I recommend this pizzeria!!! A pleasant environment!!!! Homemade desserts to taste absolutely!!!,16
5.0,LoveTravel695662,September 4 2024,1,Very good pizza. Award very reasonable. I highly recommend this pizzeria. The burrata was exquisite I pimped her with olive oil and pepper,16
5.0,franck b,August 31 2024,1,Wow bah I was with jessica and the funny in Saint Stephen where we only bought a table a freezer and a crushing machine and decided to spend with our neighbors very good pizzas and very good tiramisu,16
5.0,Daryl69,August 31 2024,5,Hearty and excellent pizzas. Pasta of the day too. Good atmosphere in this warm place. Very good value for Award.,16
5.0,Antoine de Saint Ouen,August 24 2024,139,Very good address. Excellent pizzas made with high aerobatic dough and good ingredients. Efficient and friendly service.,16
5.0,Harry Cover,August 22 2024,1,"The perfect place for a quiet evening. Yummy yummy! If Italy is a dream destination, this restaurant is the entrance.",16
5.0,Nina M,August 22 2024,1,Excellent pizzas and great service! All employees are pleasant and warm with delicious cuisine that make L'Affreux Jojo is an exceptional restaurant.,16
5.0,Fren D,August 22 2024,1,"Excellent Pizza, lots of choices and quality products, for a very reasonable Award and a warm atmosphere",16
5.0,Willy R,August 21 2024,1,"Very good pizzas!!!🍕😋 Perfect welcome, Good atmosphere, Good music, We feasted Thank you very much JOJO!!!",16
5.0,livio c,August 21 2024,2,Exceptional restaurant! Perfect welcome with sympathy and big smile! I strongly advise best Italian of Lyon.,16
5.0,Adeline M,August 2 2024,2,A very nice discovery with delicious pizzas and desserts for a very good value. And a great welcome!,16
5.0,vincent s,July 27 2024,4,"We had a good evening at the awful Jojo. Neapolitan pizzas are really good! The red was a bit hot, but the service was fine!",16
5.0,Sélène L,July 27 2024,1,"Very good!!!!!!!!!!!! Top meal and pizza thank you for everything with jojo we have fun youhouuuuu, thank you for everything",16
5.0,Johan M,July 27 2024,1,A great time spent and an exceptional spritz limoncello! The setting is very nice and the servers very friendly!,16
5.0,Léo P,July 27 2024,1,"Very good, the dough is excellent worthy of a real Neapolitan pizza! Take the spritz limoncello by the way it is divine. I highly recommend it.",16
5.0,Geralex,July 27 2024,3,"The Panazzos are too good and the spritz limoncello is on top , It was superb thank you the awful jojo!!!!!!!!!!!",16
5.0,mariecrmn,July 27 2024,1,"Come to celebrate my best friend’s birthday! Very nice place, very nice person and very nice yam!! I recommend to everyone 100%.",16
5.0,Héloïse K,July 27 2024,1,"I came for a birthday dinner, we ate very well and I had a great time with all my friends! I recommend the Spritz limoncello 👍",16
5.0,emmanuelle a,July 25 2024,1,"Excellent pizza and super nice service, great Italian wine! with a super nice terrace on a nice quiet square! I recommend 100%!",16
5.0,Pauline C,July 24 2024,12,"One of the best pizza in Lyon, an address to remember!  Award value is really interesting with quality products, We will return without hesitation!",16
5.0,anastasia L,July 20 2024,2,"Great 😀 👍 I recommend, dinner with friends very satisfied Nice and friendly place Top staff, super friendly 👍👍👍👍😉👍",16
5.0,DylanDG,July 19 2024,2,Pizzas are the best I've ever had. The setting is also very warm and friendly. The waiters are also very friendly!,16
5.0,Sassoun K,July 17 2024,1,"Pizza's good, Leo, too. Kiss. They made me a pizza that I could not refuse. The real ones will have ref.",16
5.0,matteo p,July 13 2024,1,"A very pleasant atmosphere, fast service and especially panozzo and excellent pizzas. I strongly advise.",16
5.0,Flavio P,July 13 2024,1,Pizza and panozzo of exceptional quality! We find the soul of Naples on our plates! Grazieeeeeeeeeeeeeeee!,16
5.0,stanley m,July 11 2024,1,Amazing Award for money. Very welcome and very fast service. I usually recommend few restaurants but I made an effort for this restaurant.,16
5.0,Dream52966046330,July 11 2024,1,"Very good restaurant, quality. Their menu is diverse and each dish is delicious I recommend it without hesitation, thank you for the experience!",16
5.0,Josselyn G,July 11 2024,1,"Great restaurant, the food is good, very well presented and the waiters are super nice and accommodating. Very Good Value for Award 😊",16
4.0,Eva C,July 10 2024,1,"Warm welcome! Many choices, nice waitress. Very well served:) The pasta was delicious! And pizza dough as bread too good idea!",16
5.0,Claudine S,July 6 2024,1,Very pleasant welcome. Dynamic and very friendly staff. Excellent pizzas. A great time. We'll be right back. Thank you.,16
5.0,GoPlaces58494296393,July 4 2024,1,"A charming restaurant where I was able to taste with my friends a new specialty for me, the panozzo with gorgonzola! We'll be back!",16
5.0,Laura Nikol D,July 4 2024,1,"Perfect restaurant next to Place Guichard to enjoy amazing pizzas, I strongly recommend pizza pollo",16
5.0,Emily Y,July 2 2024,1,"The pizza was wonderful! We loved our experience here, the waiter was very kind too, always smiling!",16
5.0,jean-sébastien d,June 27 2024,1,"We came to eat with colleagues, my pizzas are really good and the welcome is nickel... The icing on the cake the tiramisu are also excellent!!! I can only advise you to go",16
4.0,Sergio C,June 26 2024,1,"Nice team, quality pizza. Good cool Indians!! Well designed restaurant, not a franchise! Thank you..................",16
5.0,Damien I,June 26 2024,1,"Very good pizzeria with a good atmosphere, consistent pizza and very well garnished with a perfectly cooked and thick dough",16
4.0,mengelatte,June 26 2024,2,"Great time spent with my colleagues, good pizza hearty enough and the price was correct. I highly recommend!",16
5.0,Marie-celine B,June 26 2024,1,Great dinner with friends It's all good! Pasta was excellent We had a very pleasant time I recommend,16
5.0,Mathilde V,June 26 2024,1,"This is a great restaurant, the pizzas are really good and well cooked I recommend and come back to it And good service Thank you.",16
5.0,Romane V,June 22 2024,1,"We can hardly do better. Everything is excellent. Pizza, cocktail, dessert and hospitality. Nothing to say... and the limencello",16
5.0,Anaïs H,June 22 2024,2,"The pizzas were excellent (especially the truffle one), as well as the cocktails. The waiters were also very kind and welcoming!",16
5.0,Edouard C,June 22 2024,3,"Very nice place for a dinner, the staff is young and dynamic, the pizzas are really good the dough is perfectly cooked and in very good taste ✅ We were served quickly and with a smile; a big thank you! I recommend this pizzeria without worries (more attractive prices:) )",16
5.0,Celia T,June 22 2024,17,"Very welcome, the pizzas are excellent and well stocked (special mention for dough!):) Lovely and dynamic staff, very good value for money, I recommend 100%!",16
5.0,elodie35350,June 22 2024,9,Very nice team; they gave us a great table despite a strong crowd this Saturday. Jojo green delicious and hyper hearty!,16
5.0,Sébastien G,June 19 2024,1,"Very good pizza, recommended! We came with 10 colleges from my company and had a great time together",16
5.0,Contact e,June 19 2024,1,"Pleasant service, very good team! The pizzas are superb and the desserts brilliant. Top cooking really a treat",16
5.0,valerian b,June 15 2024,1,"I had a great time thanks to the service and the food, everything was perfect, we had a great evening!",16
5.0,Agathe Maria,June 15 2024,1,"Very good meal, pleasant terrace and welcoming staff! We had a very good evening at this restaurant.",16
5.0,Zoë N,June 15 2024,3,"Unforgettable experience! We were very well received, easy and friendly service and delicious pizza :) we will return!",16
5.0,ali k,June 15 2024,1,"Good pizza and very attentive employees. We were on the terrace and the weather was very pleasant. Lots of people, we haven't been forgotten yet.",16
5.0,Noah,June 7 2024,3,"It was excellent, great service and very good meal, warm atmosphere 😊. Very pleasant staff, I really liked their pizzas",16
5.0,stephanie B,June 5 2024,108,"Very warm welcome by the very friendly and accommodating waitress. Good advice, very good and well balanced dishes. I recommend +++",16
