rating,user_name,date,contributions,review_text,id_resto
4.0,food_enthusiast666,May 10 2022,89,"The Grand Refectoire was, as the name suggests, the refectory of the former huge hospital which has now been converted into a retail and food destination. The menu is small but very interesting. We both had asparagus as a started served with a yoghourty dressing and chopped hard-boiled eggs with herbs - delicious.  This was followed by and unusual octopus and black rice stew which was perfectly cooked. Service was prompt and unobtrusive, and even with two glasses of wine as an apertif, then a pot of a decent Cote de Brouilly we got away under 135 euros. A very impressive space and well worth putting on your itinerary,",8
4.0,Susie_east_horsley,January 11 2020,4,We were recommended to visit this beautiful building however the food was a little disappointing given the very heavy price tag! Nothing was outstanding except the wonderful attention /service by Rosie who made our whole evening. It was middle of the week but first day of the sales so we expected it to be a little more busy. Huge cavenous space that would welcome the buzz of more people to bring it alive. Sad to say we would not rush back as there are so many restaurants offering better food and better value for money.,8
4.0,Andrea G,January 8 2024,1,"It has been a long time that I wanted to try this restaurant. The place is very nice. The location is very characteristic as the old refectory of the Hotel de Dieu was nicely renovated. It is very nice place. The place is very popular (as it should) and it is better to make a reservation (like we did) especially if you want to eat after 20.15-20.30. On my opinion, this is one of the major limitations of the place as it gets very busy and you are forced to call the waiters to order your food. It is not that the waiters ignore you, they are just very busy running from one table to another. In addition, you can feel that the place is very popular from the quality of the paper of the menu, which I found it worn and creased from overuse. Regarding the food, it was good and in line with the quality that you can find in Lyon (which is very high), the quality/price ratio was ok for Lyon (entree/plat/dessert = 39 euro). Despite the waiting time for the order, the food is very quick to arrive as the kitchen seems very well organized. The dessert was very good.",8
2.0,dmacseoin,February 28 2023,47,"We did arrive 25 minutes late which is understandably upsetting for staff and organisation. However being remonstrated about this by a very unfriendly receptionist on our arrival was quite astounding. To be accused directly of « impolitesse » was quite unexpected. Our reservation had been cancelled despite it being confirmed twice. There was no problem as the restaurant was quite empty and only filled up partially later on. I had been to this restaurant a week previously and due to the very positive experience was looking forward to introducing a friend to my new discovery. It is worth pointing out that during the week I had spoken to another friend who had had a very negative experience in the restaurant the same week I was there. We were there midday they the evening. To get back to this evening, the reception did nothing to put me in the right frame of mind to enjoy the meal. However it was not the only reason. The burata ordered by my companion was tasteless and stodgy. The lentil salad was good. We both had the st jacques which was basically two pieces of St Jacque with some potato pieces placed on a cold endive. The bread requested at the same time as the starter arrived eventually after the main course was finished. Personnel apart from the reception were friendly but quite dispersed and inefficient.",8
1.0,Arrt94,April 15 2024,75,"I regret not sharing the favorable opinions regarding this restaurant, dark and sad. We had a very bad experience. The waiter, otherwise smiling, was completely incompetent. We were served a tab without even asking us the desired cooking and we had, after a very long waiting time, meat that was practically raw and inedible. To judge the level of service, our two table neighbors were served dessert TWICE… before having the starter and main course ordered. It's not expensive, it's not worth more and it's a shame for Lyon's restaurants. To flee !",8
2.0,Mobile05985913619,February 19 2024,1,"The setting is magnificent but unfortunately there were many errors in customer care and service which disappointed us. When we arrived, despite a big smile from one of the people at reception, the rules of decorum were somewhat timid. No information on the fact that the menu was different compared to the proposals on the website. Namely: A unique Valentine's Day menu excluding drinks and expensive (65€/person), a limited choice on the menu whereas the restaurant was supposed to offer starter + main course + or main course dessert options at 36€ or 39€ for starter , dessert dish. The first waitress simply seated us, handed over the cards without specifying. In addition, when my friend wanted to order crozets from her and my dish, she was not able to confirm to us whether or not there were these left in the kitchen and to tell us beforehand that the pasta had been replaced by gnocchi. Another waitress was responsible for making our choices, the first having taken too long to return. These kinds of details should be known well in advance. Our dishes were good but the taste qualities did not appeal to us that much. Also lack of little attention to customers, even if only “Is everything going well for you? » or “Do you need anything else? »… The team seemed cold to us, not very warm... Everything was quite expeditious, even our glasses barely had time to be finished before our table was cleared too quickly. In summary, there is a need for training which must be continued, improvements to be made to perpetuate the concept, to make it more human and less superficial than it is at the moment. A little more clarity needs to be corrected regarding the products also offered according to the services.",8
2.0,NorthStar526458,December 7 2024,1,"Apart from the exceptional place, the meals are of poor quality and not at all up to this place. It is a “tourist” brewery with basic food not even at the level of corks: in terrine starter of dry and rancid pâté, passable quenelle and dessert not at all corresponding to the menu announcement. The icing on the cake, given the exorbitant price of the bottles of wine, I order from the pitcher of 46 Cc a local wine (I am advertised Côté Rôtie billed at 54 eur or the equivalent of 88 eur the bottle of 75cc. The wine is served in a transparent glass bottle and I do not guarantee that we will Served me a vintage wine aop! And the maitre d’ did not want to hear anything except to offer me a coffee push which I declined. It’s borderline scam, but it’s the festival of lights and therefore an opportunity to trap tourists.... Your establishment is warmly recommended by the Michelin Green Guide: I will not fail to let them know so that they warn their readers. A Belgian customer you will never see again and who will not fail to advertise!",8
3.0,Gggflo,April 17 2024,91,"My darling introduced me to this place full of history! I loved We were well placed and installed in the refectory room... the only downside: the service, a little young and inexperienced - We felt a little rushed in the service and from the choice of our aperitif... Delighted to have spent time for a meal this Tuesday evening with my Darling in this very unusual place.. The menu remains original and I found my little happiness for my taste buds! however in terms of price, the menu remains consistent for a big gourmand at 39 euros but compared to the price of an à la carte dish, we offer you a dish for more than 30 euros... I recommend the place for its history!",8
3.0,Jean-Paul H,January 15 2024,4,"On the occasion of a birthday, we dined at the Grand Réfectoire, and I must say that after the first appetizer, which was delicious, we were very disappointed and even annoyed: if the cuisine, although a little disappointing if we take into account the reputation of the Chef, remains very good and of high quality, the place which benefits from an incomparable history and remarkable architecture, is very poorly presented value. But what is worst is the service which is deplorable, the servers do not communicate with each other, do not listen to the customer, do not follow the course of the meal, we are therefore forced to ask several people times the wine, water, arrival of dishes, etc. yet they are not overloaded with work, we see them chatting among themselves, laughing, taking all their time, ... Not a single gesture, except a little digestive to apologize for the dysfunctions, I'll stop there, I'll spare you the problems when establishing the quote, but quite frankly, there are a thousand places much better, more pleasant and which for the same price will give you a much better time, especially to celebrate a birthday (the restaurant didn't even make a small gesture to celebrate the 80th birthday of the person who invited).",8
2.0,legoffjeromesls,February 17 2024,17,"We went there during a visit to Lyon. Magnificent place. On the other hand, disappointment on the plate. 1. Evening of 02/17. The discovery menu has been removed as a special “Valentine’s Day Souvenir” menu. Some dishes from the discovery menu remain available but only at the à la carte price. No information when booking about this limitation. 2. The crozets risotto was replaced by a plate of gnocchi without warning either when ordering or during service. In the prawn dish with vanilla homrad head juice, we do not find any notes of vanilla. 3. Good desserts. In summary, major communication problem. Value for money well below expectations and claims.",8
