rating,user_name,date,contributions,review_text,id_resto
5.0,Aileann P,October 28 2023,1,"My colleagues and I were overwhelmed by the richness of the menu. Generous starters and well-stocked side dishes (a wide variety of naan, rice and vegetables). For vegetarians, unsurprisingly, you will find what you are looking for and even sensitive palates will be able to sleep peacefully: attentive service. Spicy or not, the dishes are excellent. I recommend the salty cumin lassi and a goat cheese naan to accompany! We will come back.",210
5.0,David Samuel,January 15 2022,3,Do yourself a favor and visit this lovely restaurant in Lyon. The service is unmatched. The staff truly cares about your experience. The food is absolutely amazing & finest dining you will ever see. That Gulab Jamun tastes will be remembered in your tongue for ages. Highly recommend!!!,210
5.0,ManoCCC,August 5 2023,3867,"Great discovery... this restaurant is now part of our Top 3 of the best Indians in Lyon. Because the menu is provided... a never-before-seen assortment of Nans. I recommend the chef's nan, Because the flavors are there, The desserts are good and original (pistachio ice cream and semolina cake), Because the service is fast and attentive... In short, we recommend it... We took the menu for 36€. It's very very hearty. We finished with the f Doggy bag offered by the waiter",210
3.0,ArunBains,December 31 2020,50,"The food was presented well and fairly good ingredients. But it’s very expensive for chicken that looked like it had been cooked days ago and reheated, same for the samosas. The lamb was tough and not cooked well at all. The spices were fairly well balanced.",210
2.0,paolo69,May 13 2024,342,"Don't be fooled by the comments, the decoration is beautiful but that's all. Being Indian, this restaurant has adapted to Europe. It's super expensive for what you eat. I won't go so far as to say that it's bland but you pay for the setting. I absolutely did not find any Indian flavors in my lunch. No interest especially since the service is long. And then, serve halwa with strawberries...seriously? Strawberries are not part of Indian cuisine",210
5.0,Serpollet,August 12 2023,152,"Nice typical setting. Smiling welcome. Efficient service. The dishes are classic and excellent. We ask you the strength you want for those which are spicy. The nans are a little too thin for my taste which does not justify removing a star.A great address for those who want to eat Indian in Lyon, and ideally located right in the center in the heart of very lively streets.",210
5.0,Jayakanth,July 1 2021,3,"I felt a best reception by restaurant staffs. delicious foods and beverages. specially they had own three type of sauses. spicy, demi spicy and mint sauce. I feel different tastes from other indien restaurants' does not have. presentation of the meals, decorations of plats are very attractive. and taste of food is awesome. Reasonable prices. And i feel full satisfaction of spending time and money there.",210
5.0,Isabelle66,March 31 2024,67,"Very nice restaurant in a charming little street. Warm welcome with a smile and a very pleasant cozy atmosphere. From cocktails to dessert, everything was delicious and very beautifully presented. We found our Indian restaurant in Lyon and we will return there with great pleasure without hesitation.",210
5.0,Manon_and_off,August 11 2024,39,"We ordered an entrance to shared the eggplant donuts were delicious! It is a very good idea to offer several sauces for each taste and tolerance to chilli. The dishes are hearty and delicious, there are many choices. The restaurant is well decorated and very clean, the service fast, very professional and pleasant. The cocktails are really good, especially the mojito which is excellent. For dessert we took lassis, very fresh and very good.",210
5.0,Carla M,August 6 2024,33,"A decoration that immerses us in the atmosphere of the restaurant, a warm welcome and very pleasant service, in addition to delicious cuisine rich in flavors 🤩 Many vegetarian options, there is something for everyone! I recommend without hesitation.",210
5.0,FlyAaron,November 26 2021,859,"There’s nothing better than being greeted by a friendly person with a smile on there face. It’s welcoming, especially for foreign travelers like us. I had vegetable biryani. Taste and quality was excellent. All staff at this restaurant was friendly and service was excellent.",210
4.0,Fanny & Jamil,October 17 2024,59,"A good experience: hearty and tasty dishes, excellent Naan, very attentive customer service! He paces the service at your convenience. We eat well, fast and efficient! A good address to remember.",210
