rating,user_name,date,contributions,review_text,id_resto
4.0,Marc T,March 8 2020,47,"We had a very warm welcome. The view is marvellous. Amuse bouches were good, except one. The rest of the starters very good and the main course, salers beef with foie gras was exceptional. Le charriot des fromages was to die for. The sommelier had a very good knowledge of the wines and was very attentive. Unfortunately one of the waiters announced tartare of scallops when it had to be oysters and had to recuperate our plates when she was mistaken. Not worthy a Michelin star restaurant, but it didn’t spoil our evening. I missed the maitre d’hotel the whole evening. I hoped he was coaching his staff",12
4.0,Virg A,April 22 2024,169,"Lyonnais, we wanted to test the table and the setting for years without daring to take the plunge because the dated exterior of the Sofitel put me off. What a nice surprise inside! Obviously the view is crazy and the place is modern and warm. I recommend coming when the days are getting longer or at midday to take advantage of the daylight because surely linked to energy savings, the city is not very well lit in the evening from this point of view. The starter/2 course/dessert menu was excellent, you don't get lost in the flavors. The service was at the level of the evening. On the other hand, a disappointment on the wine list, which is much too expensive, a real shame not to offer several bottles below 45 euros. For the lunch menu at 38 euros I agree with a previous comment it is really regrettable.",12
4.0,Jean Claude H,January 3 2024,171,"First test of this restaurant whose cuisine was taken over by Chef Jeremy Ravier. The €38 menu served at lunchtime from Monday to Friday is recommended. The original and refreshing starter (frozen oysters), the cooking of the perfect lote and the dessert, well balanced in terms of flavors and sugar. The service is friendly and attentive without being obsequious and of course the view is exceptional. We will come back to try the menu at 70/82€ in the evening. One regret, the wine list should include a few bottles for less than €50 to accompany the €38 menu.",12
5.0,John G E,September 21 2023,5,"Visiting from the US, and found about the restaurant through a chance meeting with Lou. She helped secure a dinner reservation for us, and was our server. Lou was very knowledgeable about the menu and the background of the kitchen staff. She helped us in making a menu substitution due to a particular food allergy, which was greatly appreciated. Additionally, she assisted us in choosing a perfect wine pairing.  Abel was also attentive throughout the meal, and was extremely helpful and friendly. He made a great recommendation for our digestif which capped off a delightful evening. We had three courses plus dessert, all delicious and wonderfully presented. Excellent contrast in flavors on all plates. The duck was magnificent! The view of the evening city is spectacular, and the interior of the restaurant is quite comfortable and bright. We recommend Les 3 Domes unconditionally!",12
4.0,pilarin21,February 18 2024,46,"Everything was perfect except the service. Superb view, well installed. beautiful dishes and menus. All the dishes were beautiful and very good. The staff nice, but disorganized. We waited a long time to get the menu cards. We were the ones who asked for appetizers, which took a very long time to arrive. The first courses were about to be served, and we still didn't have the appetizers. Between the starters and main courses, a waiter brought us 2 coffees that we had never asked for. We had asked that dishes for young children be served as a priority. But that was not the case. Damage!!!!",12
3.0,Sigismond Bourdon,January 29 2024,127,"Three waiters took care of us. Two impeccable but a third very heavy, absolutely wanting to give us a glass of champagne for 25€ for the aperitif and red wine for the meal even though we had asked for white wine. In terms of plates, starters and main courses worthy of the lost Michelin star, but unfortunately the dessert drastically reduced the quality of the meal. As a ""surprise from the chef"", we were treated to a heavy and uninteresting millefeuille with hazelnut cream. What remains is the exceptional view. For that, no bad surprises to fear!",12
5.0,Lawrence H,September 14 2024,38,"We had the most wonderful evening at this restaurant. It is rare indeed that a restaurant combines service, food and a spectacular view. We had a very special dining experience. The staff was helpful, friendly and the timing of the meal service was perfect. We enjoyed a three course fixe price meal that was wonderfully prepared and elegantly presented, The wine that was suggested paired well with our food.",12
3.0,PierrotParis_France,April 28 2024,516,"Last visit in January 2020 very happy. Last night, quite disappointed. Good level of welcome and service in general. We will forget the fact of not removing the bread or the crumbs before offering the dessert menu. Excellent desserts both in appearance and taste. The rest... With an aperitif at €21 for a glass of Champagne, without the bottle being presented, a nice little 1cm² amuse bouche is a bit short. The rest of the dishes, good things like this veal fillet cooked to perfection, the accompaniments more questionable because you get lost. I'm still looking for the morels from the ""pressed potatoes"", as for the ""green asparagus"": asparagus cut into thirds! And the wine list, in my last passage, I wrote ""wines at reasonable prices"". Here, the hammer blow! in Burgundy in white you have to count on €150 as a starting price... Certainly you can have Domaine de la Romanée Conti for almost €10,000... which is the price. The service is generally professional, the desserts top, the view always remarkable but overall a disappointment! But the room was full...",12
2.0,Martini911,October 21 2022,55,"Really disappointing food. The worst meal we had over the tour of France. Their menu online said they did a salad lyonnaise, as one would expect in Lyon. When we arrived, it wasn’t on their menu and somehow they didn’t have any of the ingredients (no bacon or egg?). My partner was given a salad with uniform pre-sliced reconstituted chicken, as one might find in a cheap supermarket. The burrata and tomorrow starter was also very poor with cheap, flavourless burrata that was almost frozen cold and the tomatoes were limp. Clearly they had made the dish, wrapped it in cling film, and kept it in the refrigerator.  The view was nice and the dessert trolley looked ok but we didn’t try it as the other food was of such low quality.",12
4.0,Jean H,October 13 2023,915,"Nice but a disappointment. With the great views and the dining room this should have been great. All the other restaurants we went to in Lyon were better, and two wee much less expensive. Not great for gluten-free. Although most appetizers were GF, only one main was GF other than a vegetable plate. Big mark-ups on the wines. Annoyingly, they did not keep the bottle on the table, but did not make Sur they kept our glasses filled - worst of all worlds.",12
