rating,user_name,date,contributions,review_text,id_resto
4.0,Turner S,October 11 2020,1496,It seemed like a very touristy street but we were happy to find so many restaurant options in one place. Lyon may be the gastronomic capital of Paris but it was surprisingly difficult to find restaurants outside of Vieux Lyon. The food was good and service friendly. They had all the traditional Lyon items on the menu. Lyon has good food but it is heavy. Throw in a bottle or wine and it’s straight to bed after. The tarte aux pralines here was a helpful sugar rush at the end. Enough to drag ourselves back to the hotel.,13
3.0,Nicnic,November 25 2024,137,"Unfortunately, the typical setting, the professionalism and the sympathy of the service (Robin I believe) are not enough to justify the price, or even authentic French cuisine.... A salad with 5 poultry livers, a slice of calf liver bathed in melted butter accompanied by a small ramekin of gratin dauphinois, a brain of Canu (a little cottage cheese with shallots and chives...) a beer and a pitcher of wine 80€????? Lyonnais, you have to come down from the stratosphere, huh? Capital of gastronomy? All restaurants serve the same thing and exaggerate on prices. But here we reach heights!",13
3.0,Lylou C,June 1 2024,2,"Upon arriving the server does not find the reservation made in April for yesterday, There were 8 of us, the 7 dishes arrived and the eighth did not arrive, we asked after 10 minutes for the missing dish but the only answer we got was “it happens” or “it’s because that there are 8 of you and there are 2 in the kitchen” without even apologizing. After 25 minutes of waiting the dish arrived and not even completely hot. They were still kind enough to make a commercial gesture for waiting for a dish while the others were served",13
5.0,Danny A,September 1 2023,41,"So many restaurants to choose from on this street but the menu here caught our eye. On returning at 7pm when they opened we were delighted with the welcome and were seated outside on the street seating which was ideal for watching the world wandering bye. The staff were well presented (compared to other staff in the street establishments who were in jeans & T-shirts) polite and efficient, making recomendations for chefs specials and locally produced wines. The food did not disappoint and the wine was exceptional. It was a slightly more expensive meal than normal but we were treating ourselves and our friend over from New Zealand and we did have the chef's special starter and the bottle of wine that was recommended. All in all it was a perfect end to a great day out in Lyon.",13
2.0,Rawad A,October 15 2022,2,"The reception was very bad. Moreover, after waiting 50 minutes, we asked for the food, the server almost insulted us and asked us why we are here if we are in a hury, and he started shouting! His colleague took the initiative and tried to resolve the situation. We received the food 1 hour late and not as per our requests. On the other hand, the food was good, however, it was a bad experience overall.",13
1.0,Jérôme G,February 22 2024,1,"Very disappointed with our dishes!!! We ordered the burger for extra cooking, it is served raw tartare style!! The dish is returned to the kitchen for additional cooking. We wait 25 minutes but still nothing the rest of the family had finished eating We decide to leave, the burger is charged €29.50 (on the site €26.50!!!) even though I ate a quarter!!! A very unpleasant gentleman cashes us and tells us that half the burger has been eaten!!! No excuses!!!! To flee !!!",13
1.0,Hermilly Nicolas,November 1 2023,1,"An hour and fifteen minutes for my 6-year-old daughter to have a pasta gratin, and for my wife to have a bone-in-marrow starter, knowing that I was not served my hairy foie gras starter.... The condescending dirty chef doesn't listen to customers, and even worse, he blames his faults on the waitress who had done her job well. This is the first time I've left a restaurant without even having eaten, we left at the end of the starter. Result: 1 glass of wine, 1 fruit juice, a mixture of fruit juices, a pasta gratin and a bone marrow for €42, without even a gesture or an apology. I go to restaurants 2 to 3 times a week and I have never seen so much condescension. There is no need to apologize on the site or even offer me a meal or discount, I would not change my rating or my comment.",13
1.0,OnTheMove2023,October 7 2023,24,"Service was terrible at Les Enfants Terribles on a Saturday night when we went. It should be called Le Restaurant Terrible instead. Staff were brusque (can live with that), bread never came to our table even after we asked (was delivered to other tables around us). Food took a very long time to arrive, one dish was delicious, two dishes decent, one dish was passable but with some items inedible and when we asked to change them we were told “you can order and pay for another dish”. Water was not replenished at all and never were able to order drinks other than the first round. Disappointing and would not recommend or return here. Many many other fabulous restaurants in Lyon that you can go to instead.",13
2.0,Ginger CS,September 29 2024,19,"This restaurant was recommended by a local when we were visiting Lyon. So, unfortunately, we took her word that it was good. Not even mediocre. Ordered the fish soup, thinking it would actually have some fish and (maybe) veggies in it, no. It was BROTH, completely liquid and of a taste I couldn't even describe nor eat for 18 Euro!! Entrees were edible only because we were starving. Service was non-existent even as French standards go. We had to wait and wait and wait just for water and bread while others who came in later were served before us. I think the first issue was that the waitstaff seemed very annoyed that we did not order any wine but only tap water. He asked 2 more times if we wanted wine (do they get a commission? who knows?) Plenty of restaurants in the area. I would definitely choose another over this one.",13
5.0,Romer,April 26 2024,246,What to say about this restaurant 🤩 traditional cuisine with exceptional products prepared with attention and quality service. Well done and thank you very much. We had an excellent evening. Everything was perfect and extremely good that I didn't have time to take photos of the plates to share. Highly recommended. The best of Rue Mercier.,13
4.0,Curious446526,June 1 2023,224,"Strictly mediocre. Priced high for the area, the food was only so-so. Steak was undercooked and smothered. The potato dish was hot enough to melt human flesh, but not too bad once it cooled. Service was good, but rushed. Overall, I would have preferred something tastier elsewhere. The saving grace was the cute place and the outside tables in the beautiful Lyon weather.",13
3.0,Angéline G,September 17 2023,14,"The dishes were very good, nothing to complain about the cooking and the friendliness of the staff. However, even though all prices in general have increased, the prices here are high compared to the products offered. We had a pitcher of white wine which was not cold enough. Coming as a couple, we regretted the promiscuity of the restaurant since we found ourselves stuck to 2 other tables of 2 people. Finally, the atmosphere was a little too subdued and noisy, therefore not idyllic for a romantic meal.",13
5.0,Philippe C,September 20 2024,35,"Simply beautiful An exceptional pan-fried foie gras... The gambas were succulent and the sweetbread perfect. What to say... Little flat, we arrived early, around 7:30 p.m. and were quickly served Everything was perfect FOR US, but not the neighboring couple who arrived 45 minutes later and waited more than an hour.",13
4.0,Pathine,April 13 2024,16,"Back from the concert it’s 11:30 p.m., we go looking for a place to grab a bite to eat before going home. Very smiling welcome by a dynamic and pleasant team despite the late hour. Two tartares, a Lyonnais pot and a regional cheese later, we return delighted from our stop at Les Enfants Terribles, thank you!",13
3.0,Isabelle M,August 7 2023,16,"Good location, very busy street (Lyon traffic jams) for a Saturday evening Good dishes. Wines by the glass also. Very welcoming and available staff Downside on the knives = no fish knife for fish and especially not suitable for Black Angus sirloin steak. Please use a good meat knife for this quality of meat. Downside on the toilets: only 1 cramped dated, door a few millimeters from the door of the Smeg fridge....",13
1.0,Carla,December 1 2024,9,"Run away! When we go to the toilet we discover the kitchen, which cuts our appetite before we have eaten. Unkind staff who gut themselves in front of customers. Gratin of overcooked macaroni, inedible fries and excessively expensive prices! A catch tourists....",13
5.0,Mark68,September 13 2024,346,"Last minute dinner on cold rainy night.. quick seating. Fun menu… great wine, mediocre gin & tonic… salad nice size and veal was moist and tender.. great location on restaurant row!!!!quaint and cozy feel w lots on walls to browse around!!",13
5.0,boulineau,August 31 2024,4,Great on the plate and for the welcome. We ate very well monkfish with meat juice for my husband and sausage for me. Very hearty and good. The room manager is smiling and very nice. The waiter also we had a great evening. Come discover!!,13
5.0,Alexandra E,February 25 2024,329,We had a wonderful meal at this place. The beef steak with pepper sauce was excellent. The potatoes dauphinois no less then expected. The pork leg is also interesting. The prices are normal for this part of town. Very good!,13
5.0,Lecharlo,November 16 2024,14,5/5 for a disastrous service:) late booking and bad orders but Robin's great cuisine and good humor make up for it. Offered drinks and digestive with Robin after closing made us want to come back as soon as possible! Go ahead without hesitation!,13
5.0,Joycetraveller,September 7 2024,196,The waiter/manager Robin cares about the restaurant and your experience. I have severe allergies and he spoke with the chef as to what they could make me and then confirmed it when it was brought out !!. Both the prawns and the monkfish were specials and delicious .,13
5.0,Patty C,May 7 2024,40,"Chloe was our waiter, she was very attentive and gave us outstanding service on a very busy night!  The food was fabulous.",13
4.0,MAGGY STAVRIANAKI,December 15 2023,90,Great atmosphere and the food was also quite nice and delicious. The meals were a little bit smaller than usual but tasty. The staff was very friendly,13
5.0,SUE B,October 3 2023,25,Wonderful Lyonnais atmosphere and food! We were served fast and efficiently. A find on rue Merciere!,13
1.0,Culture589832,May 19 2023,2,Extreme disappointment. We came here to celebrate an 80th birthday. 2 people not served. One person waited 1 hour after the rest of the group had received their meals and finished.,13
1.0,Pjean73,December 15 2019,9,Don’t go there ! The reception was horrible. Humiliating! Honestly! The women almost insulted us because she saw we were looking at the menu of the restaurant which was side by side. At chocking experience. The price are expensive and the room is dark and small,13
5.0,czechyou,October 20 2019,150,"I loved this restaurant; excellent service and atmosphere, as well as delicious food and wine. Couldn’t ask for better! The steak was perfectly cooked and the morel mushroom sauce was divine. Service was friendly and warm. Would highly recommend and I would return in a heartbeat the next time I’m in Lyon.",13
4.0,Alcide P,June 5 2019,123,"Come Back after 34 years and feel the same taste and the same sensation.... his already a young place, in an outstanding road! beautiful people around....thake the salade lyonaise and anduillette",13
5.0,John V,May 5 2019,21,We were recommended this restaurant by our waiter and the food service and wine were all good. We had a waiter who spoke good English which was good for us.,13
