rating,user_name,date,contributions,review_text,id_resto
4.0,Epicureously,April 18 2022,1266,"We stayed 5 days in the hotel so booked the restaurant for the second night. There was a nice lounge for a pre dinner drink which was very tranquil like the restaurant. We had a nice table at the front line which has the best view looking over the town. The primary reason to go here. Although as a bit of advice, if it’s not summer they keep the glass doors closed which means that when it’s dark the view is your own reflection. I’m sure they open them when it’s warm. They did at lunch. The decor is modern but classy and there is a good feeling of space but still quite intimate. The menu was very good with various tasting options plus a la carte. We went al a carte. To start I had a very nice dish of raw prawn various ways in jus from prawn head. Main course was veal sweetbreads. Cooked superbly. Didn’t like the fact we were ask to choose our desserts at the beginning of the meal. In fact I cancelled mine as I was too full. Had a spoonful of my wife’s non alcahol baba. Nice but easily the weakest dish. Big wine list and sommelier very good. The real issue here is service. Very timid throughout and positively non existent at the end. It took three go’s to get the bill and when it came it took ten minutes to find a pen so I could sign the damn thing. They certainly weren’t short staffed but maybe short of high calibre staff for a Michelin restaurant. Overall a very good experience. I will return but for lunch next time.",2
4.0,Francois B,December 3 2023,135,"Family birthday meal. Lots of difficulty getting a reservation (weekdays on Wednesday evenings) even if booking 2 months in advance. Reception non-existent and no valet on site. Curious about the quality of the establishment. Very nice dining room with a beautiful view. Unacceptable service faults for a starred restaurant. The menus distributed to the guests had the prices…. When you invite your guests…. It’s a bit embarrassing, and the men are served before the ladies…. I must be old France!!!! The meal was good but some dishes lacked seasoning. On the other hand, great ideas for dishes that we don't eat often and which are original. The €135 menu promised a great experience but after tasting, we agreed that it was not up to the standard of a Michelin-starred restaurant.",2
4.0,gourmet 73,November 5 2023,8,"A magnificent view of Lyon, a very beautiful room with space. The service is good even if it was a beginner's mistake to get the wrong menu. The error is human. The dishes are of quality but we are left a little hungry...the garnishes are very limited, it deserves a little more. The price of the coffee and/or the cheese platter is excessive...it's regrettable and it doesn't make me want to recommend this very beautiful place. Customer support upon departure is almost non-existent...bad point!",2
3.0,MarineH,August 6 2020,16,"Staying at Villa Florentine for the week end, we decided to book the Michelin Star restaurant Les Terrasses de Lyon. Although the hotel is wonderful and the service quality up to the standards of Relais & Châteaux, we have been really disappointed by the restaurant. The staff was particularly unfriendly and inattentive - which is not what you expect from that kind of restaurant. Nobody was looking to serve us water or wine, we had to do it ourselves. Waiters did not explain the dishes, which is once again, something that should never happen in a Michelin star restaurant. Also very surprising, there was no “mises en bouches” and no wine pairing menu. I’ve been to many Michelin stars restaurants and this is the first time I had such issues.  The food was very good but lacking of sophistication in the presentation of the plates. We had a talk with the property manager who explained us that it was not the usual staff due to COVID 19 circumstances, and that they did not had the time to train them like they would usually do. I find it a real pity as the menus were not less expensive even though the service and quality was not as good a usual.",2
3.0,Rebecca A,October 8 2021,194,"The service was awful. Our order was taken promptly but we attempted several times to get the sommelier to aid us choosing a bottle of wine and we never saw them. We had to ask repeatedly to get simple things like a water refill. The wait staff was busy pouring wine for other tables and we had to waive for them to if we wanted anything. We saw several trays of food waiting to be served while the waitstaff was busy pouring wine. The food was quite good, but we had to send some of it back because it was not hot. It was very expensive for such lack luster service.",2
3.0,760judith,June 18 2022,12,"Staying in the (glorious) hotel, Villa Florentine, we'd booked here for our first night and expected it to be one of the highlights – but sadly no. First, the phots are a bit misleading, implying you can eat on a terrace overlooking the town, but in fact it's just a room with a view. Second, I think Michelin needs to review its star: the four-course menu we had was lacked flavour, imagination and artistry. Third, the extensive wine list only catered for those with refined palates and deep pockets – the very few cheaper bottles cost €85. The next night we had a superb 7-course tasting menu and a bottle of (very drinkable €40) wine at the gorgeous, equally Michelined Monsieur P for around half the price.",2
2.0,Gourmand548,August 7 2021,2,"Me and my wife visited Les Terrasses de Lyon in the end of August 2021. We have eaten in many Michelin starred restaurants over the years and unfortunately Les Terrasses de Lyon does not live up to the general requirements and criterias of a one star restaurant.  The setting is wonderful and the restaurant is nicely designed. However, we were very surprised by the extremly low quality cooking techniques and we didnt really experience a large harmony of flavours in any of the dishes:  - The amuse bouches we ordered were quite ordinary and one, that was an alternative due to an allergy, consisted of a small piece of dark bread with a vegetable on top!  - The pithivier we were served as a main course wasnt, as it usually is, served as a whole at the table but was instead already cut up, divided and served/presented directly on the plates in a very non attractive way. Besides it didnt taste fresh but rather something that had been warmed up in a micro- wave oven.  The bread that was served was a very ordinary brekfast bread served without butter. When we asked for butter we got the same packaged butter as we had been served at breakfast at the hotel in which the restaurant is located.  The service was nice enough but the main part of the staff didnt seem to have any experience at all of service at this restaurant level and it was obvious that many people in the staff had been newly recruited without being offered any proper training by the managers. It all seemed very unorganised and unccordinated.",2
3.0,TracCao,May 29 2022,140,"The restaurant has great potential - fantastic views, lovely bar section, modern decor done tastefully and on paper, a menu that should deliver. However, after two dinners at the restaurant, I am afraid it falls well short of the mark. The first issue is the service and a major one. The restaurant has my full sympathy with staffing challenges and on each occasion, the service simply unravels after the entree after the 8pm as more guests arrive. On the second dinner, we simply had to serve our wine and water and simply left after the main course as we did not wait forever for the deserts. The second issue is the food. On both occasions, the food was not great. The chicken I had was dried, the trout entree was bland and lacking flavours and the desserts on the first night was uninspiring. It is almost the kitchen had run of passion. So Les Terrasses needs to improve and I hope it does as it has the potential to be a premium dining destination if someone wants to put the love into it.",2
1.0,melmelimel,May 31 2024,28,"Great disappointment for this table which should have amazed us a priori. The menu looked tempting, as did the setting. So on paper we were going to have a good time. Accustomed to large restaurants, we were generally disappointed, both by the service (disordered, even non-existent) and by the dishes. No dedicated server, so in the end no one took care of us. 30 minutes to receive the menu, the same for the wine (arrived after the appetizers) etc etc. This is by far not worthy of a star rating. Let's move on to the dishes, the starter ""fish soup, foie gras, asparagus"": A pasty jelly, rather cloying (couldn't finish the plate) and the foie gras non-existent. No chewiness, no crunch... For the main course, the skin of the fish was not properly cooked, resulting in a ""soft"" skin, which was not very pleasant. The accompaniments were good, no surprises. The meat was good, again without much emotion. For the chocolate dessert, quite good and successful, but nothing to rave about. We sent our comments on site. Apparently the waiter had received the same complaints before, but the chef did not take them into account to improve his menu. For the service, here too the manager seemed aware of the lack of coordination of his team, particularly on the side and back tables. No action was taken despite the countless number of errors.  We rate our experience severely, hoping that the chef will quickly reconsider, because without that, we very much doubt that the future of the restaurant will be under a starry sky. Unless the guide only notes the view of this establishment.",2
1.0,littleblackbook,July 9 2024,22,"We returned to stay at Villa Florentine after a 10 year absence - it’s just as special as ever. The same can’t be said of the hotel’s restaurant, Les Terraces de Lyon. A beautiful room with an enviable view of the City’s roof tops, but if the Michelin inspectors had experienced our sub-par food and service, Les Terraces would be lucky to retain its inclusion in the guide, let alone a prized rosette. I’d like to be convinced we’d caught them on an ‘off’ night (a new menu, about which the waiters knew far too little) but then I’d need to be persuaded to give it another try, and with 16 excellent/awarded restaurants within close proximity, I’ll opt for shy, over twice-bitten? A great shame, the charming hotel, the unique heritage and setting, the extraordinary quality/variety of local produce (and these disillusioned guests) deserve so much better! My wife insists that our previous night’s dinner at L’Assiette Champenoise in Reims (truly exceptional) had spoilt us, and set too high a bar. As always, she has a point!",2
1.0,Natalie D,November 13 2021,77,Not a Michelin star restaurant at all!!!  Very bad service - customers don’t count - waiters on theirs phones. We had to ask for water at least 3 times.. Food average - over salty and nothing special . Really nothing great. We came here for our 10 year anniversary and booked a month and a half before. So very disappointed and will never return. A real let down.,2
2.0,DESPORTE Y,December 14 2023,1,"A big disappointment Overall casual and unprofessional welcome and service A place without soul, despite the superb view of Lyon...the only positive point! International hotel restaurant type decoration...without charm We all dined “a la carte” Sophisticated and lean dishes with multiple combinations of flavors... so that it is almost impossible to identify the essential... ==>The ""trissotins"" of gastronomy are undoubtedly at the Terrasses de Lyon, on the slopes of the Fourvière hill! In addition....Very poor value for money Example: The (stingy) glass of Blanc de Blancs champagne at €29, stale and therefore almost without bubbles..... Conclusion: avoid! There are a thousand times better in Lyon....",2
2.0,Camelot359,September 5 2024,9,"A disappointing experience. We were encouraged by all the hype, but found all too quickly that our expectations were not to be fulfilled. Service level, despite the number of staff, was well-below par for a restaurant of this calibre. Perhaps a case of too many cooks? Staff seemed misguided and ineffective. After being shown to our table, it took more than 10 minutes to be asked about ordering drinks - in most restaurants the question would have been asked by the person taking us to our table. When it came time to order, despite the limited breadth of menu, we were informed that langoustine, duck and the beef fillet were all off the menu for the night. I am sure that there was some rational excuse, but that doesn’t help when you are left with limited choices. The finish main course was very good, however the veal was only lukewarm when served and was chewy. When asked how everything was, I mentioned the disappointment with the service and the quality of the veal dish. Of course the staff were apologetic but dinner was over at that stage, so not much opportunity to make things right. I find it difficult to recommend this restaurant based on our experience.",2
4.0,patrick l,August 16 2021,22,Great place to enjoy a gastronomic experience but... Service is great. Environment fantastic. Good food spoiled by a bread that is not what one would expect from such place. Especially if one want to experience the appealing cheese plateau. As it appears it is not the first time customers complain about the bread quality. And been in france and not solving this issue is really weird. It kills the great experience it shall have been...,2
4.0,Stéphane P,September 23 2023,171,"The welcome is warm and rather neat Renaissance menu at €135 We start the aperitif with a glass of Cordon Rouge Champagne For me a glass of Coteau de Lyonnais red wine… young and harsh! Oops ! Surprised to find this type of wine in a Michelin-starred wine! Let's hope that this false note will be erased with the sequel Let's start with some rather pleasant appetizers A new wine erases the false note of the first: a good quality Loire Valley Let's start the meal with the caramelized field tomato So how can I say... it's a beef heart tomato but without flavor... with tasteless seasoning and frankly no real taste Second false note! Damage Let’s continue with the crab and avocado cannelloni: A question comes to mind… is there only one chef in the kitchen?! The dish is fine, refined, tasty!! A true delight ! We really wonder how this tasteless tomato got here! The one-sided Arctic Char reminds us that we are in a Michelin-starred restaurant! A real treat... the cooking is perfect and the zucchini variations are a real delight! Finally, the smoked veal loin (we preferred it to the Pigeon) comes to majestically close this meal which... beyond the slightly complicated initial note... will ultimately have kept its promises! The Cahors which accompanies the meat is also very pleasant, although to be honest the wine pairings could have been more surprising! The pre desserts and desserts were up to par It was ultimately a good time!",2
3.0,Delphine P,August 6 2024,9,"The setting is perfect. The sublime view, we had a table by the bay window, really beautiful. A nice welcome, a sommelier of good advice and a professional and diligent waitress. Big table lovers, the ouaaah effect stops there, the cooking is unfortunately unsurprising, the foie gras without emotion, Rouget overcooked, Monkfish lasts so long it was cooked... Simple plates and no magic.... The chocolate dessert was very good, but we found the tiny portion...and all for an Award that does not match the performance..,, Too bad...",2
