rating,user_name,date,contributions,review_text,id_resto
5.0,amitabh k,December 2 2021,53,"Our delectable lunch at Chez Phamily Vietnamese on route de Boeuf needs a mention for superb tasting pho and Tom kha Kai soups, fresh tasting Bok Choy and gambas citronnelle . Our hostess was ably assisted by her family chef and our repas was served piping hot. The presentation and taste were really good and fresh ingredients in each of the dishes made the lunch very flavourful.Price wise I would say each starter was 9 euros and main range between 9-18 Euro . Will recommend for those not on a big budget .",332
4.0,bengals4,November 21 2021,595,Reeling from foie and friends and aching for capsaicin we wandered into Phamily in Vieux Lyon. Charming area and charming resto. The offerings hitting the bullseye. Do ask for extra Thai chilies however as the tolerance for capsaicin is next to zero in France so even “spicy” dishes are rather tame to the American palate.,332
5.0,florine v,March 5 2024,33,"Excellent Thai/Vietnamese cuisine. I recommend the raw beef salad. The Chef takes care to offer the chili on the side so that the dishes suit everyone's tastes. The restaurant is very small, I advise you to make a reservation. The service is very friendly. Very reasonable prices",332
3.0,TracCao,May 26 2022,140,"If you come from the US / Australia / Canada or Vietnam itself and expecting top notch authentic Vietnamese food, you will be disappointed. However, if you want a break from Lyonnais food then I would recommend it.  The restaurant is run by a Vietnamese family who has been in Lyon in 92. The son runs the front of house with dad cooking in the kitchen. Overall, it does a good take on Vietnamese food by Lyon standard but it is not particularly exciting. The menu is limited and has a blend of Thai and Vietnamese but it is Vietnamese first and foremost. The service was lovely and I would recommend it for this alone. Note though, it can get quite smoky inside and for those who are sensitive to these things, sit at the front if you can. I wish them well.",332
5.0,Philippe et Christine,October 16 2023,149,"Second visit to this restaurant on the very famous rue du Boeuf. And this time again we were won over. Very friendly welcome and service; we are not in the polite, but really in the exchange. Dishes always impeccable, everything is fresh, you can feel it. Light and generous cuisine. And thank you for the nice gesture :-). Very reasonable prices, including for the wines (including a Saumur Champigny 2018). A very good time and a place well noted in our address book.",332
5.0,worldcurious,July 26 2024,114,"I have had Bun Cha in many restaurants, but this was the absolute best with the freshest ingredients, beautifully served. Each of us loved the dish we chose. It is a lovely little spot, with fantastic service. Honestly, we’ve been in France for a week and this was, hands down, our favorite restaurant!",332
5.0,Marea L,October 11 2023,5,We were staying in Vieux Lyon and our daughter in law wanted Vietnamese food for her birthday. What a surprise to find such a great restaurant around 50 metres from our Airbnb. There were 7 of us and we ordered a number of different dishes and every one of them was exceptional. My spring rolls were probably the best I have ever had. The service was also very good.,332
5.0,Robert C,June 27 2024,240,"We visited here as a couple. Amazing flavours and service second to none. Attentive service and the food was the best we have had in France (sorry!) in 2 weeks. I’m not sure if you can book but we just walked up. We ordered the spring rolls to start with and they were melt in the mouth. We then ordered the sticky rice with onions, rice with Chinese sausage and beef with onions plus the prawn dish. All cooked to perfection. For dessert we ordered both the hot and cold mochi. Omg!! Was brilliant too! You will not be dissatisfied or disappointed here the quality and flavours were fantastic.  I’m sure if we had found this restaurant - few days ago this would now be our only place to dine! Amazing 10/10 A*.",332
5.0,Regula F,September 14 2024,1,"Very spontaneously we ate here. It was a great, quiet atmosphere. Although we did not reserve there was a table for us on a Saturday night. The service staff was very friendly and welcoming. The food came quickly and we tasted wonderful. Thank you very much we will come back and recommend you",332
5.0,Ty W,June 25 2023,7,Tuan was our waiter and did an excellent job helping us order incredible food that certainly hit the spot. It’s a great choice for Vietnamese food in Lyon!,332
