rating,user_name,date,contributions,review_text,id_resto
3.0,Tilou & Balle,November 5 2023,2,"The setting and decoration are very pleasant but once seated, it is immediately less pleasant. We were upstairs, stuck between 2 tables of strangers and we couldn't even hear each other talk (hello privacy)! However, we had reserved a long time ago but some people without reservations were placed before us and at better tables. Regarding the cocktails: excellent! For the food, the guacamole was very nice (lacking a little spice), the grilled pig quesadillas were succulent but on the other hand the beef tacos were quite bland :( The service lacked a little professionalism even if we understand that the beginnings are always complicated... In short, a good experience but we will not be returning immediately.",247
3.0,Velidhu91,February 19 2024,297,"I agree with several previous opinions: the setting is very nice, colorful, warm; the service rather efficient, the staff smiling. But I was not convinced by the dishes, which I found bland, without relief... The quesadillas seemed quite industrial to me and the accompanying salad was wilted... Probably nicer just for a cocktail-guacamole option, but not sure I'll go back for dinner. The value for money is not there in my opinion.",247
3.0,GOUNI,October 29 2024,137,"Welcome to the nice entrance and very friendly decoration, as in the photos. Medium-clean toilet, and a dirty cleaning cloth lying on a piece of furniture in the main room, cobwebs in the room visible from the outside. Despite the pleasant setting, I doubt about hygiene. The tables are glued together, we enjoy all the conversation of the neighbors. The coktails are correct and reasonable prices. Cold service, no smiles, we are encouraged to have starters and dishes served at the same time (""do you mind if we bring everything at the same time?""). Well....we didn't dare say no, but the fact is that the hot dishes were warm or cold, and there was no room to put everything on the table....(we put the vase on the floor, and the glasses on the shelf behind.) We didn't get a decanter of water, and the red wine by the glass was at room temperature, like 22 degrees....I put on an ice cube even though I hate doing that. The bib is very special, some parts of the piece are stringy and there is a sauce ready made in tube...not top...There is too much creamy sauce in tacos, but it is rather pretty and tastes good. We found that the ceviche place was not bad... We didn't have dessert. In the end, it's as expected, very nice, very instagram, but hygiene and food to perfect. Good time, though.",247
1.0,valérie t,February 12 2024,1,"To flee !!!! The beautiful decor is not enough to have a good time. Unpleasant welcome, wait of 15 minutes before you are seated (although with reservation). The guacamole is out of stock (the worst for a so-called Mexican), the dishes where there should have been guacamole must be paid for in full, I ask the waitress what other ingredient they can replace the guacamole with or I imagine that Will there be a small discount on dishes without this ingredient? She goes to find out and comes back 20 minutes later! Saying that it doesn't change the price and that they don't replace guacamole, and that ""there's not enough in the dish to make a discount anyway"" 😅 Staff who do not know the menu and are unable to advise you, no warning about the strength of the dishes ordered for children, 2 desserts out of 4, no professionalism, the customers are numbers. We rush you, and at the end we suggest you pay the bill by flashing the QR code on the table to avoid waiting in line, without specifying that this service is chargeable. A great scam, this Tiger Milk.",247
1.0,902nata1r60220,November 4 2023,1,"As soon as you arrive, you are informed that you have 1 hour 15 minutes to eat and that the dishes will all arrive at the same time so you will eat them lukewarm. The waitresses rush you throughout the meal and it's stressful. Nice decor but the concept is not at all successful. The dishes are good, but there is not enough room for all the plates since the tables are very small. At the end, the waitress tells you that you have 10 minutes left and that you will have to vacate the table! So, we were still hungry but we couldn't order the rest or the desserts. We took them elsewhere and it’s a shame! We didn't have a good time and wouldn't recommend unless you are in a very, very hurry..",247
2.0,Cestmoi69100,November 3 2023,15,"The place is magnificent, but the rest is not up to par! The dishes are tasteless. The service is terrible!! Long wait. The waitresses are very nice but completely incompetent! We ordered white wine but they didn't have any chilled so they put it in the freezer! And we never had a wine glass to drink from, despite our repeated requests: they ran out of them and were waiting for other customers to finish their glasses to bring them to us. After almost an hour of waiting, they brought us 2 (there were still some missing!), coming out of the dishwasher, hot and not dried. We ask for extra chips and tortillas, and they take the bowl of guacamole lying around on our table to put the chips in without even cleaning it! The most basic codes of the service are very far from being applied! Please, decor isn’t everything! Train your staff!!",247
2.0,Emma,November 13 2023,237,"A pretty and trendy place. The chairs are not very comfortable and the tables are too high which gives us the impression of being “low” compared to the table. The waitress spilled our guacamole on the table, then got the wrong dish for one person at the table which meant we had to wait and ate cold. The ceviche was pretty good but the pork tacos were bland and uninteresting. The portions of the sides (guacamole) are very small. So yes, this restaurant is very affordable but I won't go back, not worth the detour.",247
2.0,Marc,August 28 2023,5,"Tested on a Saturday evening at 9 p.m. with reservation. Very complicated to get a table, obviously the first service was not willing to release theirs. Passage by the bar to wait with a cocktail (very good and super nice bartender by the way!!). 1st attempt at placement in the ""speak easy"" room in the basement but unsuccessful because there was no room in the end so return to the bar 😅. By default, we are then placed right next to the toilets on a round table made for 2 but there were 3 of us (we will have to organize ourselves when the plates arrive!!). Given the noise level and the heat, I regretted the lack of space in the basement but perhaps the wait will be rewarded by the contents of the plate. Regarding the dishes, extremely surprised by the tacos that were way too spicy or a tasteless quesadilla, I had other memories of Mexican food. Let's move on to the carafe of water requested 3 times which due to lack of space on the table has anyway joined the decorative niche with books behind us. Really disappointed and it's a real shame because the place is quite nice with its very immersive decor, is very friendly and suggests a rather nice experience but the service could be improved that evening, the staff seemed overwhelmed by the crowd of the moment .",247
3.0,yoyo13700,March 4 2024,158,"We were a table of 11 adults including 1 sick... she asked for a coke, there was none, a plate of rice, there was none, she asked for a plate of plain Quinoa, which arrived cold and who will be charged the normal flat price.... a shame. Plus it was inedible. The setting is nice, the drinks are average, the lost brioche is very good, mixed opinion....",247
3.0,lapinblanc2016,December 13 2023,114,"But who are we kidding? Arriving at 12:30 p.m., the first dish was served at 1:49 p.m. and the last at 2:09 p.m. The dishes were cold. They were sent away. They came back lukewarm and the salad cooked. Two waitresses for such a room, but who are they kidding? Especially since they are responsible for collection. It's a shame, the place is beautiful and the map spiritual. Catering is far too serious a profession to be left to novices.",247
