restaurant_id,restaurant_name,restaurant_url,restaurant_avg_review,restaurant_total_reviews,restaurant_price,restaurant_type
1,Frazarin Bistrot Franco Italien,/Restaurant_Review-g187265-d23110895-Reviews-Frazarin-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"5,0",298,€€-€€€,"Italienne, Française"
2,Les Terrasses de Lyon,/Restaurant_Review-g187265-d3727154-Reviews-Les_Terrasses_de_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,5",918,€€€€,Française
3,Le Comptoir Des Cousins,/Restaurant_Review-g187265-d12874430-Reviews-Le_Comptoir_Des_Cousins-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"5,0",711,€€-€€€,"Française, Européenne"
4,Le Grand Réfectoire,/Restaurant_Review-g187265-d15373478-Reviews-Le_Grand_Refectoire-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,0",1336,€€-€€€,"Française, Brasserie gastronomique"
5,Agastache Restaurant,/Restaurant_Review-g187265-d20287839-Reviews-Agastache_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"5,0",203,€€-€€€,"Française, Moderne"
6,Le Casse Museau,/Restaurant_Review-g187265-d949361-Reviews-Le_Casse_Museau-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"5,0",411,€€-€€€,Française
7,Le Vieux Lyon,/Restaurant_Review-g187265-d1605401-Reviews-Le_Vieux_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,5",949,€€-€€€,"Française, Européenne"
8,L'affreux Jojo,/Restaurant_Review-g187265-d15114321-Reviews-L_affreux_Jojo-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"5,0",583,€€-€€€,"Italienne, Méditerranéenne"
9,La Table d’Ambre,/Restaurant_Review-g187265-d15087146-Reviews-La_Table_d_Ambre-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"5,0",482,€€€€,Française
10,BLO Restaurant,/Restaurant_Review-g187265-d14913909-Reviews-BLO_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,5",300,€€-€€€,"Française, Steakhouse"
11,Carmelo,/Restaurant_Review-g187265-d20088872-Reviews-Carmelo-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,0",795,€€-€€€,"Italienne, Toscane"
12,Wasabi,/Restaurant_Review-g187265-d1014592-Reviews-Wasabi-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,5",408,€€€€,"Japonaise, Sushi"
13,Bouchon Les Lyonnais,/Restaurant_Review-g187265-d2281210-Reviews-Bouchon_Les_Lyonnais-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,0",1623,€€-€€€,"Française, Européenne"
14,L'Institut Restaurant,/Restaurant_Review-g187265-d5539701-Reviews-L_Institut_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,5",1242,€€€€,"Française, Européenne"
15,La Source,/Restaurant_Review-g187265-d17541665-Reviews-La_Source-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"5,0",133,€,"Française, Saine"
16,Mama Restaurant Lyon,/Restaurant_Review-g187265-d4059959-Reviews-Mama_Restaurant_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,0",1457,€€-€€€,"Française, Bars-restaurants"
17,Chez Micheline,/Restaurant_Review-g187265-d19658212-Reviews-Chez_Micheline-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,5",129,€,"Française, Européenne"
18,Culina Hortus,/Restaurant_Review-g187265-d15210556-Reviews-Culina_Hortus-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,5",393,€€€€,"Française, Saine"
19,Brasserie Georges,/Restaurant_Review-g187265-d695217-Reviews-Brasserie_Georges-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,0",8884,€€-€€€,"Française, Bar"
20,Empanadas Club,/Restaurant_Review-g187265-d19896976-Reviews-Empanadas_Club-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"5,0",417,€,"Latino, Saine"
21,Le Bouchon Sully,/Restaurant_Review-g187265-d7290042-Reviews-Le_Bouchon_Sully-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,5",233,€€-€€€,"Française, Européenne"
22,Burgundy By Matthieu,/Restaurant_Review-g187265-d6453660-Reviews-Burgundy_By_Matthieu-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,5",984,€€€€,"Française, Européenne"
23,Restaurant Le Musée,/Restaurant_Review-g187265-d1395616-Reviews-Restaurant_Le_Musee-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,5",1888,€€-€€€,Française
24,Copains Copines Sur la Colline,/Restaurant_Review-g187265-d7015032-Reviews-Copains_Copines_Sur_la_Colline-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"5,0",275,€€-€€€,"Française, Brasserie gastronomique"
25,Le Desjeuneur,/Restaurant_Review-g187265-d12714765-Reviews-Le_Desjeuneur-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,5",446,€€-€€€,"Française, Américaine"
26,La Table de Max,/Restaurant_Review-g187265-d15639122-Reviews-La_Table_de_Max-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"5,0",317,€€-€€€,"Française, Européenne"
27,L'Alexandrin,/Restaurant_Review-g187265-d718105-Reviews-L_Alexandrin-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,5",759,€€€€,"Française, Européenne"
28,Table & Partage,/Restaurant_Review-g187265-d18626103-Reviews-Table_Partage-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"5,0",472,€€€€,"Française, Saine"
29,Monsieur P,/Restaurant_Review-g187265-d13200359-Reviews-Monsieur_P-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,5",320,€€€€,Française
30,Les 3 Dômes,/Restaurant_Review-g187265-d798706-Reviews-Les_3_Domes-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,5",1007,€€€€,"Française, Européenne"
31,Carnet Gourmand,/Restaurant_Review-g187265-d4068496-Reviews-Carnet_Gourmand-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,5",269,€€-€€€,"Chinoise, Asiatique"
32,La mere Jean,/Restaurant_Review-g187265-d785269-Reviews-La_mere_Jean-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4,5",1133,€€-€€€,"Française, Européenne"
