restaurant_class,restaurant_name,restaurant_url,restaurant_reviews
1,Les Terrasses de Lyon,/Restaurant_Review-g187265-d3727154-Reviews-Les_Terrasses_de_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
2,Frazarin,/Restaurant_Review-g187265-d23110895-Reviews-Frazarin-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
3,Le Casse Museau,/Restaurant_Review-g187265-d949361-Reviews-Le_Casse_Museau-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
4,Le Comptoir Des Cousins,/Restaurant_Review-g187265-d12874430-Reviews-Le_Comptoir_Des_Cousins-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
5,Agastache Restaurant,/Restaurant_Review-g187265-d20287839-Reviews-Agastache_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
6,Le Grand Réfectoire,/Restaurant_Review-g187265-d15373478-Reviews-Le_Grand_Refectoire-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
7,Le Vieux Lyon,/Restaurant_Review-g187265-d1605401-Reviews-Le_Vieux_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
8,Diploid,/Restaurant_Review-g187265-d12362863-Reviews-Diploid-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
9,L'Entrecôte,/Restaurant_Review-g187265-d2075406-Reviews-L_Entrecote-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
10,Le Merciere,/Restaurant_Review-g187265-d907784-Reviews-Le_Merciere-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
11,L'Etoile d'Asie,/Restaurant_Review-g187265-d3630466-Reviews-L_Etoile_d_Asie-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
12,Fiston - Restaurants,/Restaurant_Review-g187265-d8745622-Reviews-Fiston_Restaurants-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
13,Fiston - Bouchon Lyonnais,/Restaurant_Review-g187265-d15130370-Reviews-Fiston_Bouchon_Lyonnais-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
14,L'affreux Jojo,/Restaurant_Review-g187265-d15114321-Reviews-L_affreux_Jojo-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
15,Table & Partage,/Restaurant_Review-g187265-d18626103-Reviews-Table_Partage-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
16,Brasserie des Brotteaux,/Restaurant_Review-g187265-d695215-Reviews-Brasserie_des_Brotteaux-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
17,La Table d’Ambre,/Restaurant_Review-g187265-d15087146-Reviews-La_Table_d_Ambre-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
18,Kopain & Café,/Restaurant_Review-g187265-d25360215-Reviews-Kopain_Cafe-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
19,Bulle Restaurant,/Restaurant_Review-g187265-d24034671-Reviews-Bulle_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
20,Casabea,/Restaurant_Review-g187265-d15866098-Reviews-Casabea-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
21,La Meuniere,/Restaurant_Review-g187265-d1014546-Reviews-La_Meuniere-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
22,Le Bistrot de Lyon,/Restaurant_Review-g187265-d719037-Reviews-Le_Bistrot_de_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
23,Brasserie Georges,/Restaurant_Review-g187265-d695217-Reviews-Brasserie_Georges-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
24,Le Poelon d'Or,/Restaurant_Review-g187265-d1331952-Reviews-Le_Poelon_d_Or-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
25,Le Bouchon Des Berges,/Restaurant_Review-g187265-d2369137-Reviews-Le_Bouchon_Des_Berges-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
26,L'Institut Restaurant,/Restaurant_Review-g187265-d5539701-Reviews-L_Institut_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
27,Chez Paul,/Restaurant_Review-g187265-d1867024-Reviews-Chez_Paul-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
28,Restaurant Le Musée,/Restaurant_Review-g187265-d1395616-Reviews-Restaurant_Le_Musee-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
29,Les Infideles,/Restaurant_Review-g187265-d21254633-Reviews-Les_Infideles-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
30,Le Desjeuneur,/Restaurant_Review-g187265-d12714765-Reviews-Le_Desjeuneur-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
31,Sabai Sabai,/Restaurant_Review-g187265-d14001472-Reviews-Sabai_Sabai-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 230 reviews
32,Danton,/Restaurant_Review-g187265-d3588068-Reviews-Danton-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 778 reviews
33,Carmelo,/Restaurant_Review-g187265-d20088872-Reviews-Carmelo-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.0 of 5 bubbles. 790 reviews
34,Le Tire-Bouchon,/Restaurant_Review-g187265-d1733782-Reviews-Le_Tire_Bouchon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 739 reviews
35,Chez Mounier,/Restaurant_Review-g187265-d782164-Reviews-Chez_Mounier-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.0 of 5 bubbles. 812 reviews
36,Le Bouchon de l'Opera,/Restaurant_Review-g187265-d1945699-Reviews-Le_Bouchon_de_l_Opera-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 255 reviews
